,MKPRU
2748,672.76
2749,657.45
2751,664.57
2752,662.15
2753,675.45
2754,673.2
2755,672.84
2757,664.88
2758,651.58
2759,655.84
2760,661.41
2761,654.69
2762,655.06
2763,654.98
2764,655.32
2766,654.73
2767,628.01
2768,606.32
2770,565.05
2771,577.31
2775,592.69
2779,587.75
2781,570.97
2784,575.51
2785,576.03
2786,576.65
2787,583.2
2789,588.97
2790,586.18
2791,582.84
2792,579.86
2793,581.07
2794,571.54
2795,576.53
2797,578.61
2798,574.82
2799,572.81
2800,576.21
2803,608.1
2804,611.09
2806,627.77
2810,609.67
2811,610.92
2812,612.08
2813,610.38
2814,609.11
2815,608.0
2816,611.58
2817,610.19
2818,609.74
2820,597.42
2821,604.22
2825,605.96
2826,605.67
2828,609.39
2829,614.82
2830,610.51
2831,611.85
2832,609.62
2837,615.65
2838,617.54
2839,639.3
2843,637.94
2845,638.18
2849,631.92
2850,655.48
2853,655.31
2855,682.22
2856,687.68
2857,714.89
2858,698.0
2859,702.0
2860,728.2
2862,686.17
2864,704.79
2865,712.0
2866,703.81
2870,715.45
2871,703.71
2872,701.9
2876,736.96
2878,750.03
2879,729.06
2880,738.53
2885,733.67
2886,727.96
2887,733.05
2889,742.69
2890,752.24
2894,754.63
2895,756.62
2898,770.02
2899,773.4
2900,768.3
2902,778.49
2903,774.89
2904,776.75
2905,781.56
2906,788.7
2909,793.09
2912,901.31
2913,891.61
2915,897.33
2916,930.37
2917,967.48
2918,963.38
2920,959.87
2928,908.14
2933,826.29
2934,817.91
2936,830.5
2937,903.84
2938,874.99
2939,895.79
2940,893.62
2941,920.44
2943,922.07
2944,890.32
2945,893.04
2946,915.95
2947,919.27
2949,915.93
2950,921.17
2951,964.7
2952,979.7
2953,1007.61
2954,1013.02
2956,1014.83
2958,1050.11
2960,976.1
2962,1008.84
2963,1000.6
2965,1011.78
2967,1035.2
2969,1056.63
2970,1052.77
2971,1084.75
2974,1172.01
2977,1175.04
2980,1222.49
2983,1267.02
2984,1270.93
2985,1275.19
2986,1238.44
2988,1192.46
2989,1098.61
2991,1227.49
2992,1239.81
2993,1245.37
2994,1257.39
2996,1091.17
2997,952.23
2998,1029.8
3001,1028.72
3002,1038.78
3003,941.91
3005,956.78
3007,1046.12
3010,1079.54
3011,1086.92
3012,1099.16
3014,1141.6
3015,1133.07
3016,1196.3
3020,1207.74
3021,1226.61
3022,1218.92
3026,1186.92
3028,1216.18
3033,1257.98
3034,1262.9
3035,1279.41
3039,1334.97
3040,1353.0
3043,1507.57
3044,1508.29
3045,1533.33
3047,1535.86
3048,1640.61
3049,1721.28
3050,1762.88
3051,1820.99
3054,1776.31
3055,1723.12
3056,1739.03
3058,1899.08
3061,2046.53
3062,2090.66
3063,2287.71
3065,2387.2
3069,2275.93
3070,2239.2
3071,2285.93
3072,2399.24
3073,2446.14
3074,2525.76
3075,2516.17
3077,2883.31
3078,2664.92
3079,2792.99
3082,2961.82
3084,2748.18
3085,2447.04
3086,2442.48
3089,2507.38
3090,2617.21
3091,2754.97
3094,2710.41
3095,2589.16
3096,2512.36
3097,2436.45
3099,2585.34
3101,2477.64
3103,2501.19
3104,2561.22
3106,2619.18
3107,2609.96
3108,2491.2
3109,2562.13
3110,2536.23
3111,2366.17
3113,2385.74
3114,2354.78
3116,2058.99
3117,1931.21
3118,2176.62
3120,2264.76
3121,2898.18
3122,2682.19
3123,2807.6
3125,2751.82
3126,2560.99
3127,2495.02
3128,2647.62
3129,2781.63
3130,2722.51
3131,2745.95
3134,2693.63
3135,2794.11
3136,2873.85
3138,3252.56
3139,3407.22
3140,3457.37
3142,3424.4
3143,3632.5
3146,4282.99
3147,4217.02
3150,4130.44
3152,4157.95
3153,4043.72
3155,4174.94
3156,4340.31
3158,4360.51
3159,4354.3
3161,4607.98
3164,4911.74
3167,4344.09
3168,4488.72
3171,4310.75
3174,4248.09
3175,4219.03
3177,3319.62
3179,3763.62
3181,4093.31
3183,3977.56
3185,3637.5
3188,3942.55
3189,3910.3
3190,4202.55
3192,4193.57
3194,4360.72
3195,4386.88
3196,4293.3
3197,4225.17
3199,4345.6
3201,4602.28
3202,4777.96
